HR,COLOR,GLON,GLAT
7818,ffffffff,94.55,12.38
7819,ffffffff,28.97,-28.46
7820,ffffffff,52.19,-17.07
7821,ffffffff,41.36,-23.05
7822,ffffffff,26.8,-29.27
7823,ffffffff,73.86,-2.34
7824,ffffffff,47.24,-19.95
7825,ffffffff,21.9,-31.01
7826,ffffffff,77.26,-0.02
7827,ffffffff,92.13,10.59
7828,ffffffff,86.14,6.4
7829,ffffffff,26.07,-29.78
7830,ffffffff,26.08,-29.78
7831,ffffffff,41.97,-23.1
7832,ffffffff,14.42,-33.29
7833,ffffffff,62.41,-10.94
7834,ffffffff,70.91,-5.04
7835,ffffffff,75.85,-1.47
7836,ffffffff,54.66,-16.21
7837,ffffffff,29.94,-28.71
7838,ffffffff,34.81,-34.32
7839,ffffffff,63.06,-10.95
7840,ffffffff,55.1,-16.21
7841,ffffffff,83.6,3.99
7842,ffffffff,19.33,-32.54
7843,ffffffff,91.89,9.92
7844,ffffffff,86.07,5.74
7845,ffffffff,35.45,-26.86
7846,ffffffff,4,-36.45
7847,ffffffff,76.44,-1.45
7848,ffffffff,23.96,-36.09
7849,ffffffff,67.51,-8.15
7850,ffffffff,97.76,13.8
7851,ffffffff,86.41,5.73
7852,ffffffff,55.42,-16.59
7853,ffffffff,3.94,-35.94
7854,ffffffff,88.94,7.53
7855,ffffffff,31.68,-28.88
7856,ffffffff,13.08,-34.44
7857,ffffffff,54.42,-17.41
7858,ffffffff,57.02,-15.8
7859,ffffffff,25.17,-36.18
7860,ffffffff,92.67,10.06
7861,ffffffff,81.69,1.96
7862,ffffffff,63.81,-11.35
7863,ffffffff,42.49,-32.78
7864,ffffffff,41.55,-33.05
7865,ffffffff,28.86,-30.27
7866,ffffffff,75.43,-2.93
7867,ffffffff,80.66,0.98
7868,ffffffff,106.17,18.88
7869,ffffffff,7.43,-37.21
7870,ffffffff,84.62,3.89
7871,ffffffff,58.63,-15.16
7872,ffffffff,26.91,-36.2
7873,ffffffff,43.21,-24.49
7874,ffffffff,68.13,-8.87
7875,ffffffff,24.02,-36.63
7876,ffffffff,88.89,6.83
7877,ffffffff,19.54,-33.67
7878,ffffffff,45.81,-23.32
7879,ffffffff,108.43,20.04
7880,ffffffff,68.73,-8.7
7881,ffffffff,31.61,-35.58
7882,ffffffff,58.88,-15.65
7883,ffffffff,56.13,-17.5
7884,ffffffff,44.81,-24.14
7885,ffffffff,72.92,-5.73
7886,ffffffff,62.05,-13.63
7887,ffffffff,72.89,-5.76
7888,ffffffff,78.31,-1.64
7889,ffffffff,30.94,-30.5
7890,ffffffff,43.67,-24.97
7891,ffffffff,64.59,-12.05
7892,ffffffff,57.95,-16.61
7893,ffffffff,9.85,-36.23
7894,ffffffff,67,-10.35
7895,ffffffff,66.65,-10.61
7896,ffffffff,55.18,-18.47
7897,ffffffff,46.47,-23.58
7898,ffffffff,21.25,-33.77
7899,ffffffff,60.16,-15.25
7900,ffffffff,27.57,-31.87
7901,ffffffff,114.41,23.36
7902,ffffffff,17.97,-34.7
7903,ffffffff,65.2,-11.82
7904,ffffffff,72.12,-6.72
7905,ffffffff,29.82,-31.23
7906,ffffffff,60.3,-15.32
7907,ffffffff,56.31,-17.99
7908,ffffffff,114.11,23.16
7909,ffffffff,12.13,-36.07
7910,ffffffff,18.79,-34.69
7911,ffffffff,80.35,-0.61
7912,ffffffff,84.37,2.52
7913,ffffffff,31.04,-36.01
7914,ffffffff,63.85,-13.22
7915,ffffffff,2.37,-37.67
7916,ffffffff,92.63,8.8
7917,ffffffff,71.9,-7.32
7918,ffffffff,59.4,-16.4
7919,ffffffff,82.69,1.08
7920,ffffffff,13.31,-38.16
7921,ffffffff,73.96,-5.88
7922,ffffffff,79.34,-1.74
7923,ffffffff,62,-14.85
7924,ffffffff,84.28,2
7925,ffffffff,96.41,11.33
7926,ffffffff,81.53,-0.26
7927,ffffffff,76.64,-4.18
7928,ffffffff,60.14,-16.55
7929,ffffffff,88.37,4.99
7930,ffffffff,116.56,24.35
7931,ffffffff,17.6,-35.85
7932,ffffffff,76.87,-4.26
7933,ffffffff,2.91,-38.29
7934,ffffffff,34.23,-35.7
7935,ffffffff,6.79,-37.9
7936,ffffffff,20.01,-35.5
7937,ffffffff,24.38,-34.37
7938,ffffffff,96.66,11.16
7939,ffffffff,68.82,-10.81
7940,ffffffff,93.88,9
7941,ffffffff,62.98,-15.2
7942,ffffffff,73.3,-7.63
7943,ffffffff,3.17,-39.02
7944,ffffffff,93.47,8.5
7945,ffffffff,101.72,14.68
7946,ffffffff,44.66,-26.72
7947,ffffffff,61.49,-16.57
7948,ffffffff,61.5,-16.58
7949,ffffffff,75.94,-5.71
7950,ffffffff,37.68,-30.1
7951,ffffffff,42.24,-28.09
7952,ffffffff,6.05,-39.24
7953,ffffffff,52.78,-22.5
7954,ffffffff,50.29,-23.93
7955,ffffffff,94.43,9.06
7956,ffffffff,76.39,-5.62
7957,ffffffff,97.86,11.64
7958,ffffffff,85.83,2.06
7959,ffffffff,26.68,-37.62
7960,ffffffff,26.68,-37.62
7961,ffffffff,19.65,-36.34
7962,ffffffff,90.87,6.12
7963,ffffffff,78.08,-4.34
7964,ffffffff,28.63,-33.89
7965,ffffffff,9.88,-38.26
7966,ffffffff,85.16,1.37
7967,ffffffff,104.41,16.37
7968,ffffffff,13.02,-39.34
7969,ffffffff,86.97,2.72
7970,ffffffff,12.08,-38.12
7971,ffffffff,4.68,-39.06
7972,ffffffff,90.55,5.58
7973,ffffffff,58.86,-19.23
7974,ffffffff,54.75,-21.9
7975,ffffffff,52.67,-23.2
7976,ffffffff,34.83,-32.07
7977,ffffffff,85.75,1.49
7978,ffffffff,90.24,5.17
7979,ffffffff,10.73,-38.57
7980,ffffffff,18.46,-37.18
7981,ffffffff,63.7,-16.21
7982,ffffffff,42.13,-29.18
7983,ffffffff,86.28,1.71
